apt_group,indicator_type,indicator
23,domain,alisonparker.club
23,domain,alttaeb.info
23,domain,amanda-hart.website
23,domain,amyacunningham.us
23,domain,android-settings.info
23,domain,angeladeloney.info
23,domain,anifondnet.club
23,domain,anna-sanchez.online
23,domain,ansonwhitmore.live
23,domain,apkapps.pro
23,domain,apkapps.site
23,domain,app-market.online
23,domain,appchecker.us
23,domain,appppure.info
23,domain,appppure.net
23,domain,appppure.pro
23,domain,apppure.info
23,domain,apps-download.store
23,domain,apps-market.site
23,domain,apps-store.online
23,domain,appuree.info
23,domain,arnani.info
23,domain,arthursaito.club
23,domain,artlifelondon.com
23,domain,aryastark.info
23,domain,aslaug-sigurd.info
23,domain,assets-acc.club
23,domain,assistenza-dati.com
23,domain,autlook.live
23,domain,barairhate.com
23,domain,baysidebride.net
23,domain,bbalignit.com
23,domain,bbc-learning.com
23,domain,beauty-dance.net
23,domain,beauty-msg.com
23,domain,belcherjacky.info
23,domain,bellamy-bob.life
23,domain,bestbitloly.website
23,domain,billy-bones.info
23,domain,bitgames.world
23,domain,black-honey.club
23,domain,blaxaplayer.com
23,domain,bob-turco.website
23,domain,bourneliam.info
23,domain,brian-garcia.work
23,domain,brooksprofessional.com
23,domain,bruce-ess.com
23,domain,businessessmarketed.com
23,domain,businessesspromoted.com
23,domain,businessessreviewed.com
23,domain,businessesssimplified.com
23,domain,businessesstransformed.com
23,domain,businessservicesinc.net
23,domain,buymicrosft.com
23,domain,cajaaekhart.club
23,domain,calculator-1e016.appspot.com
23,domain,calculator-1e016.firebaseio.com
23,domain,camilleoconnell.website
23,domain,carbon-tour.com
23,domain,caroline-nina.com
23,domain,cassy-gray.club
23,domain,catchansee.com
23,domain,cathy-seliver.icu
23,domain,cecilia-dobrev.com
23,domain,cecilia-gilbert.com
23,domain,cerseilannister.info
23,domain,chad-jessie.info
23,domain,charmainellauzier.host
23,domain,chat-14bb1.appspot.com
23,domain,chat-14bb1.firebaseio.com
23,domain,chat-often.com
23,domain,chat-update.live
23,domain,christopher.fun
23,domain,claire-browne.info
23,domain,clarke-griffin.info
23,domain,clarke-taylor.life
23,domain,claytoniosep.live
23,domain,clemochat.com
23,domain,conner-margie.com
23,domain,cynthiaecook.club
23,domain,daario-naharis.info
23,domain,dachfunny.club
23,domain,dachfunny.us
23,domain,danny-cartwright.firm.in
23,domain,dardash.club
23,domain,dardash.fun
23,domain,dardash.info
23,domain,dardash.live
23,domain,darrell-ferris.site
23,domain,dash-chat-c02b3.appspot.com
23,domain,dash-chat-c02b3.firebaseio.com
23,domain,dash-chat.site
23,domain,david-gardiner.website
23,domain,david-mclean.club
23,domain,david-moris.website
23,domain,davina-claire.xyz
23,domain,davos-seaworth.info
23,domain,day-on.site
23,domain,debra-morgan.com
23,domain,diego-jackson.org
23,domain,digicertglobal.world
23,domain,digital-apps.store
23,domain,dns-c.ahnlabin.com
23,domain,donald-grigg.shop
23,domain,donald-grigg.site
23,domain,donna-paulsen.info
23,domain,donnamfelton.club
23,domain,dontrack.link
23,domain,dorothymambrose.live
23,domain,drivesuplouders.000webhostapp.com
23,domain,dulichovietnam.net
23,domain,easyshow.fun
23,domain,eleanor-guthrie.info
23,domain,eleanorguthrie.site
23,domain,elizabeth-steiner.tech
23,domain,engin-altan.website
23,domain,enough-hamas.000webhostapp.com
23,domain,enti5abat.pw
23,domain,es-last-telegram.appspot.com
23,domain,es-last-telegram.firebaseio.com
23,domain,esofiezo.website
23,domain,everyservices.space
23,domain,exchangeupdates.com
23,domain,extrafeature.xyz
23,domain,exvsnomy.club
23,domain,ezofiezo.website
23,domain,face-book-support.email
23,domain,fasbcaok.com
23,domain,fasebaak.com
23,domain,faseback.com
23,domain,fasebaok.co
23,domain,fasebaok.com
23,domain,fasebaook.com
23,domain,fasebcak.co
23,domain,fasebcak.com
23,domain,fasebcck.com
23,domain,fasebcoki.com
23,domain,fasebock.info
23,domain,fasebook.cam
23,domain,fasebookvideo.com
23,domain,fasibauik.co
23,domain,fasitoak.com
23,domain,fasstt.space
23,domain,fast-download.pro
23,domain,fatehmedia.site
23,domain,fausto-barb.website
23,domain,fcaibaak.com
23,domain,fecolooklegon.000webhostapp.com
23,domain,feteh-asefa.com
23,domain,files-store.host
23,domain,fire-upload.host
23,domain,firesky.site
23,domain,flirtymania.fun
23,domain,forextradingtipsblog.com
23,domain,formore.for-more.biz
23,domain,frances-thomas.com
23,domain,freya.miranda-barlow.website
23,domain,frowtisice.club
23,domain,full.extrafeature.xyz
23,domain,gallant-william.icu
23,domain,gamerocker.net
23,domain,geny-wise.com
23,domain,gifts-store.net
23,domain,gmailservice.us
23,domain,go-mail-accounts.com
23,domain,goerge-amper.website
23,domain,goldservice.site
23,domain,goo-ply-download.com
23,domain,google-support-team.com
23,domain,gooogel-drive.com
23,domain,gooogel.org
23,domain,gp-market.com
